"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","26/03/2020",1
"2","Andaman and Nicobar Islands","27/03/2020",5
"3","Andaman and Nicobar Islands","28/03/2020",3
"4","Andaman and Nicobar Islands","30/03/2020",1
"5","Andhra Pradesh","01/04/2020",67
"6","Andhra Pradesh","02/04/2020",38
"7","Andhra Pradesh","03/04/2020",15
"8","Andhra Pradesh","04/04/2020",28
"9","Andhra Pradesh","05/04/2020",60
"10","Andhra Pradesh","06/04/2020",14
"11","Andhra Pradesh","12/03/2020",1
"12","Andhra Pradesh","19/03/2020",2
"13","Andhra Pradesh","21/03/2020",2
"14","Andhra Pradesh","22/03/2020",1
"15","Andhra Pradesh","23/03/2020",1
"16","Andhra Pradesh","24/03/2020",1
"17","Andhra Pradesh","25/03/2020",2
"18","Andhra Pradesh","26/03/2020",1
"19","Andhra Pradesh","27/03/2020",2
"20","Andhra Pradesh","28/03/2020",6
"21","Andhra Pradesh","29/03/2020",2
"22","Andhra Pradesh","30/03/2020",2
"23","Andhra Pradesh","31/03/2020",21
"24","Arunachal Pradesh","02/04/2020",1
"25","Assam","01/04/2020",15
"26","Assam","03/04/2020",7
"27","Assam","04/04/2020",3
"28","Assam","31/03/2020",1
"29","Bihar","01/04/2020",3
"30","Bihar","02/04/2020",5
"31","Bihar","03/04/2020",2
"32","Bihar","04/04/2020",1
"33","Bihar","22/03/2020",2
"34","Bihar","23/03/2020",1
"35","Bihar","25/03/2020",1
"36","Bihar","26/03/2020",3
"37","Bihar","27/03/2020",2
"38","Bihar","28/03/2020",2
"39","Bihar","29/03/2020",4
"40","Bihar","31/03/2020",6
"41","Chandigarh","01/04/2020",2
"42","Chandigarh","02/04/2020",1
"43","Chandigarh","19/03/2020",1
"44","Chandigarh","20/03/2020",4
"45","Chandigarh","22/03/2020",1
"46","Chandigarh","23/03/2020",1
"47","Chandigarh","27/03/2020",1
"48","Chandigarh","30/03/2020",5
"49","Chandigarh","31/03/2020",2
"50","Chhattisgarh","04/04/2020",1
"51","Chhattisgarh","19/03/2020",1
"52","Chhattisgarh","25/03/2020",2
"53","Chhattisgarh","26/03/2020",3
"54","Chhattisgarh","28/03/2020",1
"55","Chhattisgarh","30/03/2020",1
"56","Chhattisgarh","31/03/2020",1
"57","Delhi","01/04/2020",32
"58","Delhi","02/03/2020",1
"59","Delhi","02/04/2020",141
"60","Delhi","03/04/2020",93
"61","Delhi","04/04/2020",59
"62","Delhi","05/03/2020",1
"63","Delhi","05/04/2020",58
"64","Delhi","06/03/2020",1
"65","Delhi","09/03/2020",1
"66","Delhi","11/03/2020",1
"67","Delhi","12/03/2020",1
"68","Delhi","13/03/2020",1
"69","Delhi","17/03/2020",3
"70","Delhi","18/03/2020",1
"71","Delhi","19/03/2020",3
"72","Delhi","20/03/2020",6
"73","Delhi","21/03/2020",7
"74","Delhi","22/03/2020",1
"75","Delhi","23/03/2020",2
"76","Delhi","25/03/2020",5
"77","Delhi","26/03/2020",4
"78","Delhi","27/03/2020",1
"79","Delhi","28/03/2020",9
"80","Delhi","29/03/2020",23
"81","Delhi","30/03/2020",25
"82","Delhi","31/03/2020",23
"83","Goa","03/04/2020",1
"84","Goa","04/04/2020",1
"85","Goa","25/03/2020",3
"86","Goa","29/03/2020",2
"87","Gujarat","01/04/2020",13
"88","Gujarat","02/04/2020",1
"89","Gujarat","03/04/2020",7
"90","Gujarat","04/04/2020",13
"91","Gujarat","05/04/2020",20
"92","Gujarat","06/04/2020",16
"93","Gujarat","19/03/2020",2
"94","Gujarat","20/03/2020",5
"95","Gujarat","21/03/2020",7
"96","Gujarat","22/03/2020",4
"97","Gujarat","23/03/2020",12
"98","Gujarat","24/03/2020",6
"99","Gujarat","25/03/2020",2
"100","Gujarat","26/03/2020",6
"101","Gujarat","27/03/2020",3
"102","Gujarat","28/03/2020",8
"103","Gujarat","29/03/2020",8
