"","detectedstate","dateannounced","numberofcases"
"1","","07/04/2020",1
"2","Andaman and Nicobar Islands","08/04/2020",1
"3","Andaman and Nicobar Islands","26/03/2020",1
"4","Andaman and Nicobar Islands","27/03/2020",5
"5","Andaman and Nicobar Islands","28/03/2020",3
"6","Andaman and Nicobar Islands","30/03/2020",1
"7","Andhra Pradesh","01/04/2020",67
"8","Andhra Pradesh","02/04/2020",38
"9","Andhra Pradesh","03/04/2020",15
"10","Andhra Pradesh","04/04/2020",28
"11","Andhra Pradesh","05/04/2020",64
"12","Andhra Pradesh","06/04/2020",47
"13","Andhra Pradesh","07/04/2020",11
"14","Andhra Pradesh","08/04/2020",34
"15","Andhra Pradesh","09/04/2020",15
"16","Andhra Pradesh","10/04/2020",18
"17","Andhra Pradesh","11/04/2020",24
"18","Andhra Pradesh","12/03/2020",1
"19","Andhra Pradesh","12/04/2020",15
"20","Andhra Pradesh","13/04/2020",19
"21","Andhra Pradesh","14/04/2020",45
"22","Andhra Pradesh","15/04/2020",18
"23","Andhra Pradesh","19/03/2020",2
"24","Andhra Pradesh","21/03/2020",2
"25","Andhra Pradesh","22/03/2020",1
"26","Andhra Pradesh","23/03/2020",1
"27","Andhra Pradesh","24/03/2020",1
"28","Andhra Pradesh","25/03/2020",2
"29","Andhra Pradesh","26/03/2020",1
"30","Andhra Pradesh","27/03/2020",2
"31","Andhra Pradesh","28/03/2020",6
"32","Andhra Pradesh","29/03/2020",2
"33","Andhra Pradesh","30/03/2020",2
"34","Andhra Pradesh","31/03/2020",21
"35","Arunachal Pradesh","02/04/2020",1
"36","Assam","01/04/2020",15
"37","Assam","03/04/2020",7
"38","Assam","04/04/2020",3
"39","Assam","07/04/2020",2
"40","Assam","09/04/2020",1
"41","Assam","13/04/2020",2
"42","Assam","14/04/2020",1
"43","Assam","31/03/2020",1
"44","Bihar","01/04/2020",3
"45","Bihar","02/04/2020",5
"46","Bihar","03/04/2020",2
"47","Bihar","04/04/2020",1
"48","Bihar","07/04/2020",6
"49","Bihar","08/04/2020",1
"50","Bihar","09/04/2020",19
"51","Bihar","10/04/2020",2
"52","Bihar","11/04/2020",4
"53","Bihar","13/04/2020",2
"54","Bihar","15/04/2020",4
"55","Bihar","22/03/2020",2
"56","Bihar","23/03/2020",1
"57","Bihar","25/03/2020",1
"58","Bihar","26/03/2020",3
"59","Bihar","27/03/2020",2
"60","Bihar","28/03/2020",2
"61","Bihar","29/03/2020",4
"62","Bihar","31/03/2020",6
"63","Chandigarh","01/04/2020",2
"64","Chandigarh","02/04/2020",1
"65","Chandigarh","10/04/2020",1
"66","Chandigarh","12/04/2020",2
"67","Chandigarh","19/03/2020",1
"68","Chandigarh","20/03/2020",4
"69","Chandigarh","22/03/2020",1
"70","Chandigarh","23/03/2020",1
"71","Chandigarh","27/03/2020",1
"72","Chandigarh","30/03/2020",5
